GazeTracker initialized (ARKit)
GazeTracker initialized (ARKit)
Starting ARKit tracking
(Fig) signalled err=-12710 at <>:601
(Fig) signalled err=-12710 at <>:601
(Fig) signalled err=-12710 at <>:601
{"msg":"#Warning Error reading file", "file":"\/\/private\/var\/Managed Preferences\/mobile\/com.apple.CoreMotion.plist", "error":"Error Domain=NSCocoaErrorDomain Code=257 \"The file “com.apple.CoreMotion.plist” couldn’t be opened because you don’t have permission to view it.\" UserInfo={NSFilePath=\/\/private\/var\/Managed Preferences\/mobile\/com.apple.CoreMotion.plist, NSURL=file:\/\/\/\/private\/var\/Managed%20Preferences\/mobile\/com.apple.CoreMotion.plist, NSUnderlyingError=0x128ca8300 {Error Domain=NSPOSIXErrorDomain Code=1 \"Operation not permitted\"}}"}
[Gaze] point=(474.1, 271.9) cm=35.6
[Gaze] point=(471.8, 274.8) cm=35.8
[Gaze] point=(468.7, 276.7) cm=36.0
[Gaze] point=(467.3, 277.6) cm=36.3
[Gaze] point=(466.5, 278.8) cm=36.4
[Gaze] point=(467.4, 288.9) cm=37.9
[Gaze] point=(468.7, 292.3) cm=37.8
[Gaze] point=(469.5, 292.8) cm=37.9
[Gaze] point=(470.9, 291.4) cm=37.8
[Gaze] point=(471.2, 289.8) cm=37.9
[Gaze] point=(472.8, 288.3) cm=37.9
[Gaze] point=(471.7, 287.9) cm=38.0
[Gaze] point=(470.7, 288.7) cm=38.1
[Gaze] point=(470.4, 289.5) cm=38.1
[Gaze] point=(471.5, 289.6) cm=38.1
[Gaze] point=(472.9, 289.0) cm=38.1
[Gaze] point=(472.5, 289.6) cm=38.2
[Gaze] point=(472.9, 290.0) cm=38.1
[Gaze] point=(473.1, 289.0) cm=38.1
[Gaze] point=(472.9, 287.2) cm=38.2
[Gaze] point=(472.9, 286.7) cm=38.3
[Gaze] point=(472.2, 286.9) cm=38.3
[Gaze] point=(471.8, 287.8) cm=38.3
[Gaze] point=(471.6, 288.8) cm=38.3
[Gaze] point=(472.0, 288.8) cm=38.3
[Gaze] point=(472.3, 289.2) cm=38.3
[Gaze] point=(472.1, 288.4) cm=38.2
[Gaze] point=(471.6, 287.5) cm=38.2
[Gaze] point=(471.4, 287.2) cm=38.3
[Gaze] point=(470.8, 287.1) cm=38.3
[Gaze] point=(470.0, 286.8) cm=38.3
[Gaze] point=(469.8, 286.4) cm=38.4
[Gaze] point=(469.6, 285.6) cm=38.4
[Gaze] point=(469.7, 285.3) cm=38.5
[Gaze] point=(469.3, 284.7) cm=38.5
[Gaze] point=(469.2, 283.9) cm=38.4
[Gaze] point=(468.9, 284.0) cm=38.4
[Gaze] point=(469.5, 283.5) cm=38.4
[Gaze] point=(469.9, 283.1) cm=38.4
[Gaze] point=(469.9, 283.5) cm=38.4
[Gaze] point=(470.0, 283.5) cm=38.3
[Gaze] point=(470.0, 283.9) cm=38.4
[Gaze] point=(470.0, 284.0) cm=38.4
[Gaze] point=(469.9, 284.8) cm=38.4
[Gaze] point=(469.9, 285.0) cm=38.4
[Gaze] point=(469.9, 284.7) cm=38.3
[Gaze] point=(469.9, 284.3) cm=38.3
[Gaze] point=(469.8, 284.2) cm=38.3
[Gaze] point=(469.8, 283.9) cm=38.3
[Gaze] point=(470.0, 283.8) cm=38.3
[Gaze] point=(470.1, 284.1) cm=38.3
[Gaze] point=(470.0, 284.5) cm=38.2
[Gaze] point=(470.3, 284.8) cm=38.2
[Gaze] point=(470.4, 285.2) cm=38.2
[Gaze] point=(470.5, 286.1) cm=38.3
[Gaze] point=(470.6, 287.2) cm=38.3
[Gaze] point=(470.8, 287.6) cm=38.2
[Gaze] point=(471.6, 288.8) cm=38.2
[Gaze] point=(472.3, 288.1) cm=38.2
[Gaze] point=(472.5, 287.4) cm=38.2
[Gaze] point=(472.7, 287.1) cm=38.3
[Gaze] point=(472.7, 287.2) cm=38.3
[Gaze] point=(472.9, 287.2) cm=38.3
[Gaze] point=(473.1, 286.9) cm=38.3
[Gaze] point=(473.0, 286.8) cm=38.4
[Gaze] point=(473.0, 286.7) cm=38.4
[Gaze] point=(474.0, 286.4) cm=38.3
[Gaze] point=(476.6, 285.3) cm=38.3
[Gaze] point=(478.1, 284.6) cm=38.3
[Gaze] point=(479.9, 284.2) cm=38.2
[Gaze] point=(481.7, 283.9) cm=38.2
[Gaze] point=(483.0, 283.6) cm=38.2
[Gaze] point=(483.2, 283.8) cm=38.1
[Gaze] point=(483.6, 283.7) cm=38.1
[Gaze] point=(483.9, 283.5) cm=38.1
[Gaze] point=(484.0, 283.2) cm=38.1
[Gaze] point=(484.5, 282.8) cm=38.1
[Gaze] point=(484.5, 282.5) cm=38.1
[Gaze] point=(484.3, 282.4) cm=38.1
[Gaze] point=(484.0, 282.5) cm=38.1
[Gaze] point=(482.4, 283.6) cm=38.1
[Gaze] point=(481.8, 284.1) cm=38.1
[Gaze] point=(481.8, 284.0) cm=38.1
[Gaze] point=(482.0, 284.0) cm=38.1
[Gaze] point=(482.1, 284.0) cm=38.1
[Gaze] point=(482.2, 283.6) cm=38.1
[Gaze] point=(482.8, 282.6) cm=38.1
[Gaze] point=(483.4, 281.5) cm=38.1
[Gaze] point=(482.7, 282.3) cm=38.1
[Gaze] point=(482.9, 282.3) cm=38.1
[Gaze] point=(482.8, 282.6) cm=38.1
[Gaze] point=(482.7, 282.8) cm=38.1
[Gaze] point=(482.6, 283.0) cm=38.1
[Gaze] point=(482.4, 283.4) cm=38.1
[Gaze] point=(482.1, 284.0) cm=38.1
[Gaze] point=(482.0, 284.1) cm=38.1
[Gaze] point=(483.5, 284.2) cm=38.0
[Gaze] point=(485.1, 284.0) cm=38.0
